らいがっき,来学期,next semester,10
りんご,,apple,10
あたたかい,暖かい,warm,10
おそい,遅い,slow; late,10
すずしい,涼しい,cool (weather),10
つめたい,冷たい,cold (thing/people),10
ねむい,眠い,sleepy,10
かんたん,簡単,easy; simple,10
かかる,,to take (amount of time / money),10
とまる,泊まる,"to stay (at a hotel, etc.)",10
なる,,to become,10
はらう,払う,to pay,10
きめる,決める,to decide,10
れんしゅうする,練習する,to practice,10
あるいて,歩いて,on foot,10
いちばん,一番,best,10
このごろ,,these days,10
どうやって,,how; by what means,10
どちら,,which,10
どのぐらい,,how much; how long,10
はやく,早く,(do something) early; fast,10
おかし,お菓子,snack; sweets,11
おしょうがつ,お正月,New Year's,11
おとこのこ,男の子,boy,11
おもちゃ,,toy,11
おんなのこ,女の子,girl,11
がいこく,外国,foreign country,11
かしゅ,歌手,singer,11
キャンプ,,camp,11
こちら,,this person (polite),11
こんがっき,今学期,this semester,11
しゃちょう,社長,president of a company,11
じゅぎょう,授業,class,11
しょうらい,将来,future,11
ドライブ,,drive,11
ビール,,beer,11
びじゅつかん,美術館,art museum,11
ホストファミリー,,host family,11
みずうみ,湖,lake,11
やま,山,mountain,11
ゆめ,夢,dream,11
ルームメート,,roommate,11
うそをつく,,to tell a lie,11
おなかがすく,,to become hungry,11
かう,飼う,to own (a pet),11
サボる,,to cut classes,11
とる,取る,to take (a class); to get (a grade),11
ならう,習う,to learn,11
のぼる,登る,to climb,11
はたらく,働く,to work,11
つかれる,疲れる,to get tired,11
やめる,,to quit,11
けんかする,,to have a fight; to quarrel,11
しょうかいする,紹介する,to introduce,11
ダイエットする,,to go on a diet,11
ちこくする,遅刻する,to be late (for an appointment),11
りゅうがくする,留学する,to study abroad,11
あと,後,after (an event),11
しゅっしん,出身,coming from,11
すごく,,very,11
そして,,and then,11
ひさしぶり,久しぶり,it has been a long time,11
まあまあ,,okay; so-so,11
もっと,,more,11
あし,足,leg; foot,12
いみ,意味,meaning,12
おなか,,stomach,12
かぜ,風,cold,12
かのじょ,彼女,girlfriend,12
かれ,彼,boyfriend,12
きおん,気温,temperature (weather),12
くもり,曇り,cloudy weather,12
しあい,試合,match; game,12
ジュース,,juice,12
せいせき,成績,"grade (on a test, etc.)",12
せき,咳,cough,12
のど,,throat,12
は,歯,tooth,12
はな,花,flower,12
はれ,晴れ,sunny weather,12
ふく,服,clothes,12
ふつかよい,二日酔い,hangover,12
プレゼント,,present,12
ホームシック,,homesickness,12
もの,物,thing (concrete object),12
ゆき,雪,snow,12
ようじ,用事,business to take care of,12
あまい,甘い,sweet,12
いたい,痛い,hurt; painful,12
おおい,多い,there are many...,12
せまい,狭い,narrow; not spacious,12
つごうがわるい,都合が悪い,inconvenient; to have a scheduling conflict,12
わるい,悪い,bad,12
すてき,素敵,fantastic,12
かぜをひく,風邪をひく,to catch a cold,12
きょうみがある,興味がある,to be interested (in ...),12
なくす,,to lose,12
のどがかわく,のどが渇く,to become thirsty,12
ねつがある,熱がある,to have a fever,12
せきがでる,せきが出る,to cough,12
わかれる,別れる,to break up; to separate,12
きんちょうする,緊張する,to get nervous,12
しんぱいする,心配する,to worry,12
いつも,,always,12
おだいじに,お大事に,Get well soon.,12
げんきがない,元気がない,don't look well,12
たぶん,多分,probably; maybe,12
できるだけ,,as much as possible,12
にさんにち,二三日,for two to three days,12
はじめて,初めて,for the first time,12
もうすぐ,,very soon; in a few moments/days,12
ウェイター,,waiter,13
おじいさん,,grandfather; old man,13
おとな,大人,adult,13
がいこくご,外国語,foreign language,13
がっき,楽器,musical instrument,13
からて,空手,karate,13
カレー,,curry,13
きもの,着物,kimono; Japanese traditional dress,13
ケーキ,,cake,13
こうこく,広告,advertisement,13
こうちゃ,紅茶,tea (black tea),13
ことば,言葉,language,13
ゴルフ,,golf,13
セーター,,sweater,13
ぞう,象,elephant,13
バイオリン,,violin,13
バイク,,motorbike,13
ぶっか,物価,(consumer) prices,13
ぶんぽう,文法,grammar,13
べんごし,弁護士,lawyer,13
ぼしゅう,募集,recruitment,13
みせ,店,shop; store,13
やくざ,,yakuza; gangster,13
やくそく,約束,promise; appointment,13
レポート,,(term) paper,13
わたくし,私,I (formal),13
うれしい,,glad,13
かなしい,悲しい,sad,13
からい,辛い,hot and spicy; salty,13
きびしい,厳しい,strict,13
ちかい,近い,close; near,13
いろいろ,,various; different kinds of,13
しあわせ,幸せ,happy (lasting happiness),13
だめ,,no good,13
あむ,編む,to knit,13
かす,貸す,to lend; to rent,13
がんばる,頑張る,to do one's best; to try hard,13
なく,泣く,to cry,13
みがく,磨く,to brush (teeth); to polish,13
やくそくをまもる,約束を守る,to keep a promise,13
かんどうする,感動する,to be moved/touched (by ...),13
いらっしゃいます,,(someone honorable) is present/home,13
じつは,実は,"as a matter of fact, ...",13
ぜんぶ,全部,all,13
いちにち,一日,one day,13
ふつか,二日,two days,13
みっか,三日,three days,13
よっか,四日,four days,13
いつか,五日,five days,13
むいか,六日,six days,13
なのか,七日,seven days,13
ようか,八日,eight days,13
ここのか,九日,nine days,13
とおか,十日,ten days,13
よろしくおねがいします,よろしくお願いします,Thank you (in advance),13
ぬいぐるみ,,"stuffed animal (e.g., teddy bear)",14
あに,兄,(my) older brother,14
おおやさん,大家さん,landlord,14
おかえし,お返し,return (as a token of gratitude),14
おくさん,奥さん,(your/his) wife,14
おじさん,,uncle; middle-aged man,14
おばさん,,aunt; middle-aged woman,14
クラブ,,club; student society,14
クリスマス,,Christmas,14
ごしゅじん,,(your/her) husband,14
コップ,,tumbler; glass,14
さら,皿,plate; dish,14
じかん,時間,time,14
チョコレート,,chocolate,14
でんしメール,電子メール,e-mail,14
ネクタイ,,necktie,14
はは,母,(my) mother,14
バレンタインデー,,St. Valentine's Day,14
ビデオカメラ,,camcorder,14
ふうふ,夫婦,married couple; husband and wife,14
ホワイトデー,,White Day,14
マフラー,,winter scarf,14
まんが,漫画,comic book,14
マンション,,multistory apartment; condominium,14
みかん,,mandarin,14
ゆびわ,指輪,ring,14
りょうしん,両親,parents,14
りれきしょ,履歴書,resume,14
ほしい,欲しい,to want,14
けち,,stingy; cheap,14
おくる,送る,to send,14
にあう,似合う,to look good (on somebody),14
あきらめる,,to give up,14
あげる,,to give (to others),14
くれる,,to give (me),14
できる,,to come into existence; to be made,14
そうだんする,相談する,to consult,14
プロポーズする,,to propose marriage,14
おなじ,同じ,same,14
きょねん,去年,last year,14
わたしたち,私たち,we,14
ちょうど,,exactly,14
よく,,well,14
こ,個,[generic counter for smaller items],14
さつ,冊,[counter for bound volumes],14
だい,台,[counter for equipment],14
ひき,匹,[counter for smaller animals],14
ぽん,本,[counter for long objects],14
え,絵,painting; picture; drawing,15
えいがかん,映画館,movie theater,15
がいこくじん,外国人,foreigner,15
かぐ,家具,furniture,15
かんこう,観光,sightseeing,15
けっこんしき,結婚式,wedding,15
じしん,地震,earthquake,15
しめきり,締め切り,deadline,15
ジャケット,,jacket,15
しゅうかん,習慣,custom,15
ぜいきん,税金,tax,15
そつぎょうしき,卒業式,graduation ceremony,15
そば,,Japanese buckwheat noodle,15
ちず,地図,map,15
でんち,電池,battery,15
にわ,庭,garden,15
はっぴょう,発表,presentation,15
ばんぐみ,番組,broadcast program,15
プール,,swimming pool,15
ペット,,pet,15
よてい,予定,schedule,15
りょかん,旅館,inn,15
わりびきけん,割引券,discount coupon,15
ひろい,広い,spacious; wide,15
うる,売る,to sell,15
おろす,下ろす,to withdraw (money),15
かく,,to draw; to paint,15
さがす,探す,to look for,15
さそう,誘う,to invite,15
つきあう,付き合う,(1) to date (someone) (2) to keep company,15
つく,着く,to arrive,15
ほけんにはいる,保険に入る,to buy insurance,15
きをつける,気をつける,to be cautious/careful,15
しらべる,調べる,to look into (a matter),15
すてる,捨てる,to throw away,15
みえる,見える,to be visible,15
する,,to decide on (an item),15
そつぎょうする,卒業する,to graduate (from ...),15
よやくする,予約する,to reserve,15
いちにちじゅう,一日中,all day long,15
さいきん,最近,recently,15
えきいん,駅員,station attendant,16
おや,親,parent,16
ごみ,,garbage,16
さとう,砂糖,sugar,16
しょうがくきん,奨学金,scholarship,16
しんせき,親せき,relatives,16
すいせんじょう,推薦状,letter of recommendation,16
だいがくいん,大学院,graduate school,16
たいふう,台風,typhoon,16
ひ,日,day,16
ファイル,,file; portfolio,16
みち,道,way; road; directions,16
めざましどけい,目覚まし時計,alarm clock,16
きたない,汚い,dirty,16
おこす,起こす,to wake (someone) up,16
おごる,,to treat (someone) to a meal,16
おちこむ,落ち込む,to get depressed,16
こまる,困る,to have difficulty,16
だす,出す,to take (something) out; to hand in (something),16
つれていく,連れていく,to take (someone) to (a place),16
なおす,直す,to correct; to fix,16
みちにまよう,道に迷う,to become lost; to lose one's way,16
やくす,訳す,to translate,16
わらう,笑う,to laugh,16
アイロンをかける,,to iron (clothes),16
あつめる,集める,to collect,16
いれる,入れる,to put (something) in,16
のりおくれる,乗り遅れる,"to miss (a train, bus, etc.)",16
みせる,見せる,to show,16
あさねぼうする,朝寝坊する,to oversleep,16
あんないする,案内する,to show (someone) around,16
せつめいする,説明する,to explain,16
むかえにくる,迎えに来る,to come to pick up (someone),16
ええと,,well...; let me see...,16
きょうじゅうに,今日中に,by the end of today,16
このあいだ,この間,the other day,16
このぐらい,,about this much,16
ごめん,,I'm sorry. (casual),16
しつれいします,失礼します,Excuse me..; Sorry to interrupt you.,16
じぶんで,自分で,(do something) oneself,16
じゅぎょうちゅうに,授業中に,in class; during the class,16
ほかの,,other,16
おきゃくさん,お客さん,guest; visitor; client; customer,17
おとこ,男,man,17
おゆ,お湯,hot water,17
おんな,女,woman,17
かぎ,,key,17
かみ,紙,paper,17
きゅうりょう,給料,salary,17
コンタクト,,contact lenses,17
さいてい,最低,the lowest; the worst,17
サラリーマン,,salaryman; company employee,17
ざんぎょう,残業,overtime work,17
ストーブ,,heater,17
たからくじ,宝くじ,lottery,17
ちがい,違い,difference,17
ニュース,,news,17
ひげ,,beard,17
ひみつ,秘密,secret,17
りょう,寮,dormitory,17
りょこうがいしゃ,旅行会社,travel agency,17
うらやましい,,envious,17
すくない,少ない,a little; a few,17
つよい,強い,strong,17
えらぶ,選ぶ,to choose; to select,17
かみをとかす,髪をとかす,to comb one's hair,17
おゆをわかす,お湯を沸かす,to boil water,17
こむ,込む,to get crowded,17
たからくじにあたる,宝くじに当たる,to win a lottery,17
ぬぐ,脱ぐ,to take off (clothes),17
ひげをそる,,to shave one's beard,17
いれる,,"to make tea, coffee, etc.",17
かぎをかける,,to lock,17
たりる,足りる,to be sufficient; to be enough,17
なれる,慣れる,to get used to...,17
けしょうする,化粧する,to put makeup on,17
しゅうしょくする,就職する,to get a full-time job (at...),17
する,,"to wear small items (necktie, watch, etc.)",17
りこんする,離婚する,to get a divorce,17
おめでとうございます,,Congratulations!,17
じぶん,自分,oneself,17
ずいぶん,,very,17
そうか,,I see. (casual),17
それに,,"moreover, ...",17
たとえば,例えば,for example,17
〜にくらべて,〜に比べて,compared with ...,17
〜によると,,according to ...,17
まえ,前,before...,17
やっぱり,,after all,17
あと,後,the rest,18
エアコン,,air conditioner,18
カーテン,,curtain,18
ぎゅうにゅう,牛乳,milk,18
シャンプー,,shampoo,18
スイッチ,,switch,18
スカート,,skirt,18
しょうゆ,しょう油,soy sauce,18
そと,外,outside,18
タオル,,towel,18
にっき,日記,diary,18
ポップコーン,,popcorn,18
やちん,家賃,rent,18
ゆうがた,夕方,evening,18
ラジカセ,,cassette player with a radio,18
るすばんでんわ,留守番電話,answering machine,18
れいぞうこ,冷蔵庫,refrigerator,18
ろうそく,,candle,18
あかるい,明るい,bright,18
きぶんがわるい,気分が悪い,to feel sick,18
はずかしい,恥ずかしい,embarassing; to feel embarassed,18
あく,開く,(something) opens,18
あやまる,謝る,to apologize,18
おす,押す,to press; to push,18
おとす,落とす,to drop (something),18
おゆがわく,お湯が沸く,water boils,18
ころぶ,転ぶ,to fall down,18
こわす,壊す,to break (something),18
さく,咲く,to bloom,18
しまる,閉まる,(something) closes,18
